,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
58,2017,NBA,2,55,UTA,Nigel Williams-Goss,22.285,G,us,Gonzaga University,,,,,,,,,,,,,,,
59,2017,NBA,2,56,BOS,Jabari Bird,22.36,G,us,University of California,2018.0,2018.0,13.0,8.8,3.0,1.5,0.6,0.2,0.1,0.5770000000000001,0.632,0.429,0.462,0.2,0.098
60,2017,NBA,2,57,BRK,Aleksandar Vezenkov,21.326,F,cy,,,,,,,,,,,,,,,,
61,2017,NBA,2,58,NYK,Ognjen Jaramaz,21.3,G,yu,,,,,,,,,,,,,,,,
62,2017,NBA,2,59,SAS,Jaron Blossomgame,23.285,F,us,Clemson University,,,,,,,,,,,,,,,
63,2017,NBA,2,60,ATL,Alpha Kaba,21.15,F,fr,,,,,,,,,,,,,,,,
66,2016,NBA,1,1,PHI,Ben Simmons,19.343,G-F,au,Louisiana State University,2018.0,2018.0,81.0,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0.551,0.0,0.56,9.2,0.162
67,2016,NBA,1,2,LAL,Brandon Ingram,18.299,F,us,Duke University,2017.0,2018.0,138.0,30.8,12.2,4.6,2.9,0.7,0.6,0.43799999999999994,0.466,0.32899999999999996,0.655,2.5,0.027999999999999997
68,2016,NBA,1,3,BOS,Jaylen Brown,19.247,F-G,us,University of California,2017.0,2018.0,148.0,23.6,10.4,3.8,1.2,0.7,0.3,0.461,0.507,0.379,0.6579999999999999,6.0,0.08199999999999999
69,2016,NBA,1,4,PHO,Dragan Bender,18.223,F,ba,,2017.0,2018.0,125.0,21.1,5.4,3.7,1.2,0.3,0.6,0.37799999999999995,0.441,0.345,0.6940000000000001,-0.3,-0.005
70,2016,NBA,1,5,MIN,Kris Dunn,22.103,G,us,Providence College,2017.0,2018.0,130.0,22.0,7.6,3.0,3.8,1.4,0.5,0.413,0.44,0.309,0.69,1.0,0.016
71,2016,NBA,1,6,NOP,Buddy Hield,22.194000000000003,G,bs,University of Oklahoma,2017.0,2018.0,162.0,24.1,12.0,3.6,1.7,0.8,0.2,0.43700000000000006,0.45899999999999996,0.41200000000000003,0.86,4.1,0.05
72,2016,NBA,1,7,DEN,Jamal Murray,19.125,G,ca,University of Kentucky,2017.0,2018.0,163.0,26.6,13.3,3.1,2.7,0.8,0.3,0.43200000000000005,0.488,0.359,0.898,6.9,0.076
